name,description,owner
Pharmacy,"Your medical training allows you to better organise a medical supplies search. Unlocks the ability to rummage through a Chest a second time. The first Chest you open is guaranteed to contain a Med-Kit of any Rarity.",Quentin Smith
Head On,"You are good under pressure. While hiding inside a Locker for 3 seconds, Head On activates. Activating Head On stuns the Killer for 3 seconds.",Jane Romero
Quick & Quiet,"You do not make as much noise as others when quickly vaulting over obstacles or hiding in Lockers. Reduces the noise made during fast vaults and fast Locker entries by 100%. Reduces the Volume of any Sounds when hiding in a Locker by 100%.",Meg Thomas
Windows of Opportunity,"The vaults and Pallets in your surroundings are highlighted. Windows of Opportunity lasts for 8/12/16 seconds after leaving a chase.",Kate Denson
Diversion,"After standing within a 2-metre radius for 15/14/13 seconds while crouching and motionless, Diversion activates. Activating Diversion throws a stone to a targeted location up to 12 metres away, causing a Noise Notification. Diversion deactivates after use.",Jeff Johansen
Second Wind,"After being Unhooked, Second Wind activates. While active, heal yourself by healing 50/75/100% of a Scratch Mark when vaulting.",Steve Harrington
For the People,"You put the health of others before yourself. When another Survivor is injured, For the People activates. When active, performing a Healing action on the injured Survivor automatically completes the healing action. This transfers your Healthy State to the Survivor you healed, setting you to an Injured State.",Zarina Kassir
Up the Ante,"Luck is on your side. For each Survivor that is still alive, gain a 1/1.5/2% bonus to Luck. Luck affects the Chances of unhooking yourself or freeing yourself from Bear Traps.",Ash Williams
Off the Record,"When you are Unhooked or unhook yourself, Off the Record activates for 60/70/80 seconds. While active, your Aura is not revealed to the Killer and you benefit from the Endurance Status Effect. Off the Record deactivates when you complete a Generator or when you take a Protection Hit.",Zarina Kassir
Boon: Circle of Healing,"You bless a Totem and create a Boon Totem within 24 metres. Any Survivor in the Boon Totem's range benefits from a 50/75/100% Healing speed increase and the ability to self-heal without a Med-Kit at normal speed.",Mikaela Reid
Boon: Shadow Step,"You bless a Totem and create a Boon Totem within 24 metres. Any Survivor in the Boon Totem's range has their Scratch Marks and Aura suppressed.",Mikaela Reid
Boon: Exponential,"You bless a Totem and create a Boon Totem within 24 metres. Any Survivor in the Boon Totem's range benefits from a 50/75/100% Recovery speed increase and can fully recover from the Dying State.",Jonah Vasquez
Prove Thyself,"Work together, Survive together. For each other Survivor within 4 metres, gain a 10/12/15% repair speed. Grants 50% more Bloodpoints for cooperative actions.",Dwight Fairfield
Bond,"Your bond with your teammates allows you to feel their pain. Whenever a Survivor is within 36 metres of you, their Aura is revealed to you.",Dwight Fairfield
Situational Awareness,"You guide your teammates by sharing information. Each time you complete 15% worth of Repair Progress on a Generator, all other Survivors within 12/16/20 metres of you have their Auras revealed to you for 3 seconds.",Rebecca Chambers
Rookie Spirit,"You are an active learner and pay attention to the finest details. The Repair Progression of all Generators is revealed to you at all times.",base
Hope,"You will not be kept down. After the Exit Gates are powered, gain a 7% speed bonus to your Movement speed for 120/150/180 seconds.",base
Left Behind,"You are a lone wolf who has had to fend for themselves. After the Exit Gate is opened, the Hatch's Aura is revealed to you within 32/64/unlimited metres.",Bill Overbeck
Small Game,"You have an uncanny ability to sense danger. You get a Sixth Sense for Traps. When in a 4/5/6-metre radius of a Trap, a small notification will appear.",base
Appraisal,"You have a sharp eye and can spot things others miss. While in a 4-metre radius of a Chest, the Chest becomes Highlighted. Upon rummaging through a Chest, obtain 3 additional Tokens. Each Token can be used to rummage through an additional Chest once. You may still only rummage through each Chest once.",Élodie Rakoto
Blood Pact,"You and the Obsession are bound together. While injured, if the Obsession is within 16 metres of you, both of you benefit from a 7% Haste Status Effect for 2 seconds each time a Generator is repaired.",Cheryl Mason
Inner Strength,"Heal yourself by hiding in a Locker for 10/8/6 seconds after cleansing a Dull or Hex Totem.",Nancy Wheeler
Botany Knowledge,"Your mastery of healing increases efficiency. Healing speed is increased by 30/40/50%. Med-Kit efficiency is decreased by 20%.",Claudette Morel
Aftercare,"You know how to keep in touch and work together as a team. After performing a Conspicuous Action for the first time in a trial, you see the Auras of all Survivors who have also performed a Conspicuous Action. You also see their Auras for 6/8/10 seconds after they perform a Conspicuous Action.",Jeff Johansen
Any Means Necessary,"You have developed a sense for last-second opportunities. After a Pallet is thrown down while you are within 14 metres, stand next to the Pallet and hold the Ability Button to reset the Pallet after 14/12/10 seconds.",Yui Kimura
Wake Up!,"Your time to shine has come. When all Generators are repaired, the Opening speed of Exit Gates is increased by 15/20/25% and your Aura is revealed to other Survivors.",Quentin Smith
Visionary,"Completing Generators is your way out. While repairing a Generator within 4 metres of another Survivor, gain 10/15/20% repair speed. Alert: other Survivors repairing the same Generator have their Aura briefly revealed to you.",Felix Richter
Desperate Measures,"You fight with everything you have. For each injured, hooked, or Dead Survivor, Healing and Unhook speeds are increased by 10/12/14%, up to a maximum of 40/48/56%.",Jill Valentine
Plot Twist,"You've lived through enough bad endings to be ready for the next one. Crouching motionless for 2 seconds lets you quietly drop to the Dying State. You then immediately begin to recover, and recover fully 3/2/1% faster. After recovering, sprint at 150% your normal speed for 3 seconds. Causes the Exhausted Status Effect for 40/35/30 seconds.",Nicolas Cage
Scene Partner,"Your emotion is raw and powerful enough to attract attention. When a Killer enters your Terror Radius, there is a chance to trigger a Scream. If you do, the Killer's Aura is revealed to you for 5/6/7 seconds.",Nicolas Cage
Shoulder the Burden,"Sharing the load helps others endure. When a Survivor is put into the Dying State within 16 metres of you, press the Active Ability button to take one of their Hook States. Both you and the rescued Survivor are put into the Endurance Status Effect for 6/8/10 seconds.",Alan Wake
Power Struggle,"You will not be held hostage. While being carried by the Killer, gain a 2% Wiggle progress boost for every 1% of your Wiggle progress. Once the power of a dropped Pallet is within 4 metres of you, Power Struggle activates. When active, escape the Killer's grasp by snapping free to stun the Killer for 3 seconds using the dropped Pallet.",Élodie Rakoto
